ticker,valor_5anos,valor_12m
ABCB4,6.902438,1.086
ABEV3,3.096,0.2556
AERI3,0.41404,0.0
AFLT3,2.121752,0.017041
AGRO3,12.644483,0.0
AGXY3,3.112814,0.0
ALLD3,5.755859,0.737651
ALOS3,3.2463029999999997,0.589533
ALPA3,0.492257,0.096733
ALPA4,0.541147,0.106407
ALUP11,5.520194,0.6599999999999999
ALUP3,1.8400640000000001,0.22
ALUP4,1.8400640000000001,0.22
AMBP3,0.039344000000000004,0.0
AMER3,62.09631,0.0
ARML3,1.1132440000000001,0.150527
ASAI3,0.429705,0.107247
AURE3,3.543082,0.057033
AZZA3,5.785102999999999,0.0
B3SA3,2.098699,0.1268619999999999
BAZA3,29.582096,8.012259
BBAS3,7.279624,0.379346
BBDC3,4.212260000000001,0.88251
BBDC4,4.633488,0.970761
BBSE3,13.363756,4.262256
BEEF3,1.977868,0.0
BEES3,2.545435,0.309401
BEES4,2.545435,0.309401
BGIP4,11.338142000000001,2.985803
BLAU3,2.085391,0.253263
BMEB3,4.6150970000000004,0.022326
BMEB4,5.076625,0.024559
BMGB4,0.533767,0.1996
BMKS3,155.986164,33.12922
BMOB3,2.2960149999999997,0.694573
BNBR3,28.058412,6.035262
BPAC11,3.440593,0.752383
BPAC3,1.146577,0.250795
BPAC5,1.1468639999999999,0.250795
BPAN4,0.959171,0.0
BRAP3,15.819081,0.836106
BRAP4,18.714834,0.919716
BRBI11,3.6136470000000003,0.6599999999999999
BRFS3,0.7046279999999999,0.0
BRKM3,7.539048,0.0
BRKM5,7.539048,0.0
BRSR3,4.3162970000000005,0.527175
BRSR6,4.3162970000000005,0.527175
BRST3,0.19175723,0.19175723
BSLI3,1.823302,0.117317
BSLI4,0.735316958,0.70825964
CAMB3,1.811781,0.655167
CAML3,1.340692,0.146596
CASH3,0.060881,0.0
CBAV3,0.63269,0.0
CEAB3,0.382469,0.382469
CEBR3,27.868174,1.149649
CEBR5,27.868174,1.149649
CEBR6,30.654993,1.264614
CGRA3,11.912879,1.792827
CGRA4,11.904817999999999,1.792827
CLSC4,28.277086,5.276814
CMIG3,6.154357,1.056537
CMIG4,5.750873,1.056537
CMIN3,3.154406,0.278277
COCE5,8.207706,1.351562
COGN3,0.06672,0.06672
CPFE3,9.829296,0.0
CPLE3,2.24926,0.0
CPLE5,3.0692500000000003,0.0
CPLE6,2.9534789999999997,0.0
CRPG5,15.475658,0.0
